timestamp,action,price,quantity
2025-03-19 11:12:00-04:00,SELL,386.255,25.0
2025-03-19 11:25:00-04:00,BUY,385.935,25.0
2025-03-19 11:26:00-04:00,SELL,386.0352,25.0
2025-03-19 12:11:00-04:00,BUY,387.6,25.0
2025-03-19 12:12:00-04:00,SELL,387.31,25.0
2025-03-19 12:30:00-04:00,BUY,387.155,25.0
2025-03-19 12:31:00-04:00,SELL,387.06,25.0
2025-03-19 13:39:00-04:00,BUY,385.35,25.0
2025-03-19 13:40:00-04:00,SELL,385.37,25.0
2025-03-19 14:00:00-04:00,BUY,386.7,25.0
2025-03-19 14:01:00-04:00,SELL,386.3999,25.0
2025-03-19 14:16:00-04:00,BUY,386.53,25.0
2025-03-19 14:17:00-04:00,SELL,386.4134,25.0
2025-03-19 14:31:00-04:00,BUY,386.6859,25.0
2025-03-19 14:32:00-04:00,SELL,387.15,25.0
2025-03-19 14:53:00-04:00,BUY,387.96,25.0
2025-03-19 14:54:00-04:00,SELL,387.76,25.0
2025-03-19 14:56:00-04:00,BUY,387.98,25.0
2025-03-19 14:57:00-04:00,SELL,388.23,25.0
2025-03-19 15:00:00-04:00,BUY,388.26,25.0
2025-03-19 15:01:00-04:00,SELL,388.2524,25.0
2025-03-19 15:07:00-04:00,BUY,389.105,25.0
2025-03-19 15:08:00-04:00,SELL,389.03,25.0
2025-03-19 15:38:00-04:00,BUY,388.485,25.0
2025-03-19 15:39:00-04:00,SELL,388.54,25.0
2025-03-19 15:44:00-04:00,BUY,388.87,25.0
2025-03-19 15:45:00-04:00,SELL,388.7,25.0
2025-03-19 15:58:00-04:00,BUY,387.24,25.0
2025-03-19 15:59:00-04:00,SELL,387.87,25.0
2025-03-19 04:00:00-04:00,BUY,115.32,85.0
2025-03-19 04:01:00-04:00,SELL,115.32,85.0
2025-03-19 04:32:00-04:00,BUY,115.92,85.0
2025-03-19 04:33:00-04:00,SELL,116.0,85.0
2025-03-19 05:02:00-04:00,BUY,115.91,85.0
2025-03-19 05:03:00-04:00,SELL,115.95,85.0
2025-03-19 05:09:00-04:00,BUY,116.25,85.0
2025-03-19 05:10:00-04:00,SELL,116.25,85.0
2025-03-19 05:19:00-04:00,BUY,116.19,85.0
2025-03-19 05:20:00-04:00,SELL,116.26,85.0
2025-03-19 06:00:00-04:00,BUY,117.01,84.0
2025-03-19 06:01:00-04:00,SELL,117.07,84.0
2025-03-19 06:02:00-04:00,BUY,117.24,84.0
2025-03-19 06:03:00-04:00,SELL,117.22,84.0
2025-03-19 07:01:00-04:00,BUY,116.25,85.0
2025-03-19 07:02:00-04:00,SELL,116.4,85.0
2025-03-19 07:18:00-04:00,BUY,116.67,85.0
2025-03-19 07:19:00-04:00,SELL,116.66,85.0
2025-03-19 07:47:00-04:00,BUY,116.85,84.0
2025-03-19 07:48:00-04:00,SELL,116.82,84.0
2025-03-19 07:54:00-04:00,BUY,116.8,84.0
2025-03-19 07:55:00-04:00,SELL,116.89,84.0
2025-03-19 07:56:00-04:00,BUY,116.6,85.0
2025-03-19 07:57:00-04:00,SELL,116.8,85.0
2025-03-19 08:03:00-04:00,BUY,116.6001,85.0
2025-03-19 08:04:00-04:00,SELL,116.56,85.0
2025-03-19 08:40:00-04:00,BUY,116.6899,85.0
2025-03-19 08:41:00-04:00,SELL,116.7301,85.0
2025-03-19 08:42:00-04:00,BUY,116.84,85.0
2025-03-19 08:43:00-04:00,SELL,116.8399,85.0
2025-03-19 08:47:00-04:00,BUY,117.01,85.0
2025-03-19 08:48:00-04:00,SELL,117.0006,85.0
2025-03-19 09:02:00-04:00,BUY,116.89,85.0
2025-03-19 09:03:00-04:00,SELL,116.94,85.0
