symbol,time,open,high,low,close,volume,ema_9,ema_21,pct_change,avg_volume,volume_surge,ema_crossover,momentum_up,rsi,macd,macd_signal,macd_hist,vwap_numerator,vwap_denominator,vwap,signal_score,buy_signal,short_signal
NVDA,2025-04-09 07:00:00-04:00,98.18,98.31,96.0,96.38,423079,98.22901748893855,98.38160993471152,-1.80336220071321,49106.25,True,False,False,26.69789227166369,-0.05736163091088997,0.1220307927342042,-0.17939242364509417,3224938900410.3457,12999093553,248.0895215702234,2,False,True
NVDA,2025-04-09 08:00:00-04:00,97.53,99.92,93.25,93.92,2041575,95.35107726785493,95.50047652429896,-1.9317113918763673,174270.4,True,False,False,40.09546539379554,-0.14863446001123748,-0.09546051567553578,-0.0531739443357017,3225571497005.6025,13005735303,248.01146739174126,1,False,True
META,2025-04-09 07:00:00-04:00,515.19,515.19,506.8,507.27,12039,514.2012645168095,514.4459811780978,-1.4531325886352642,1691.45,True,False,False,35.48895899053633,0.1723193180727094,0.6899800831415678,-0.5176607650688584,3288283062331.9233,13592736453,241.9147221534027,2,False,True
META,2025-04-09 09:30:00-04:00,509.265,509.88,504.96,506.71,416112,508.5581694011585,508.56771234749675,-0.4577243438629641,23484.2,True,False,False,36.25615763546844,0.3139785287250447,0.6973335984628897,-0.38335506973784494,3288717285573.343,13593594653,241.93139265393268,2,False,True
META,2025-04-09 11:55:00-04:00,508.56,508.78,505.9,506.71,132030,508.5339139919868,508.7390543858135,-0.3637722196004445,32766.0,True,False,False,49.63254507447097,-0.21994405804372263,-0.18642075627446975,-0.03352330176925289,3293119731635.862,13602210530,242.1018057596453,1,False,True
GOOGL,2025-04-09 13:18:00-04:00,146.865,146.92,144.8,145.76,382628,146.43104753299838,146.43253448170856,-0.7557704092054252,102773.15,True,False,False,28.125000000001265,0.024337653316052865,0.05773446284209023,-0.033396809526037366,3333093875761.979,13766441410,242.11731823017138,2,False,True
TSLA,2025-04-10 08:00:00-04:00,263.14,264.6595,258.0392,262.16,330257,263.15125162699167,263.187036516636,-0.4858791375645155,22152.95,True,False,False,35.90504451038632,0.034690297246470436,0.1404317199305585,-0.10574142268408807,3468695289342.0347,14076065189,246.4250657245258,2,False,True
AAPL,2025-04-10 09:28:00-04:00,189.34,190.69,188.8801,189.0,121343,190.3472979207607,190.4014892464469,-0.9537784299339602,24328.8,True,False,False,42.85685939918322,-0.06590173145031031,-0.04950508283364667,-0.016396648616663637,3513870172804.5474,14256905863,246.46793677188126,1,False,True
META,2025-04-10 09:35:00-04:00,572.535,573.16,568.02,568.945,259301,574.4504854913689,575.026779226124,-0.6348457857417333,97955.8,True,False,False,39.38885568843749,-0.08833076738426371,0.7436736100560685,-0.8320043774403322,3597219648664.895,14842909939,242.3527235190681,2,False,True
TSLA,2025-04-11 07:02:00-04:00,252.82,252.82,252.0,252.18,19304,252.34172654800716,252.34793133008637,-0.3044079857679294,8744.35,True,False,False,49.32126696832641,-0.05061838082463055,-0.11996145248617192,0.06934307166154137,3700871961836.2827,15124527930,244.69338672683338,2,False,True
TSLA,2025-04-11 14:51:00-04:00,248.47,248.485,247.51,247.53,271548,248.49066457514962,248.606872178402,-0.37855585328807617,130912.75,True,False,False,29.26717862342737,-0.0778992213651577,0.004618852750518987,-0.08251807411567669,3726829667914.103,15229093866,244.71775541646025,2,False,True
META,2025-04-11 10:00:00-04:00,540.82,541.525,538.3,538.345,179206,541.5022256880706,541.9161744590002,-0.5771326204591198,78168.9,True,False,False,30.775862068965893,-0.05641744573244978,0.564455012793121,-0.6208724585255708,3792602782822.2197,15665355897,242.10128437289598,2,False,True
GOOGL,2025-04-11 09:28:00-04:00,153.7,153.85,152.94,153.02,20827,153.6616899562294,153.67141038864705,-0.623457591895038,4037.1,True,False,False,48.61768139092054,-0.041710069377529635,-0.07624720775534759,0.03453713837781795,3809302578927.9507,15729413765,242.17702171482998,2,False,True
AAPL,2025-04-14 09:32:00-04:00,210.49,211.1197,209.33,209.3302,1542176,211.02701753038247,211.06167991066724,-0.5745704258432682,640255.8,True,False,False,40.03896374289906,0.05625272927468927,0.20957593454174456,-0.15332320526705528,3897700852436.368,15986349186,243.81431977288278,1,False,True
NVDA,2025-04-14 09:28:00-04:00,115.02,115.03,114.24,114.34,488957,115.02291333510365,115.07601365850441,-0.6084840055632812,106783.5,True,False,False,21.015415976559723,0.003222146331467002,0.09071344567612392,-0.08749129934465692,3924453826329.008,16106060027,243.66318142053996,2,False,True
META,2025-04-14 07:42:00-04:00,550.01,550.69,546.0,547.41,14568,553.0652078220605,553.4137292188805,-0.6515426497277765,3085.85,True,False,False,20.75796726959527,0.8942403247367565,2.0883451668691784,-1.1941048421324219,3952294658327.964,16355254293,241.6529017234256,2,False,True
AMZN,2025-04-15 09:25:00-04:00,181.43,181.47,180.9014,181.05,21986,181.57817761092548,181.6210737485629,-0.3193305070748109,3416.15,True,False,False,29.682006406753743,-0.019948678603441294,0.024926363148445686,-0.04487504175188698,4084172139273.5767,16899863540,241.66894185901674,2,False,True
QQQ,2025-04-16 13:31:00-04:00,448.11,448.11,446.25,446.65,288227,448.255895289539,448.4200791719084,-0.33248538403177763,61902.3,True,False,False,30.39995455061971,-0.10791079774571699,0.016062186379528012,-0.123972984125245,4105226091765.815,16989273241,241.63635686656238,2,False,True
SPY,2025-04-16 13:31:00-04:00,530.42,530.45,528.38,528.81,544649,530.6134822972626,530.841638246492,-0.3030631530822503,110960.95,True,False,False,27.398904644008255,-0.1522652175104895,0.009997064344032264,-0.16226228185452177,4133793260309.7905,17047409566,242.48805921542382,2,False,True
TSLA,2025-04-16 08:00:00-04:00,248.2,250.67,245.0,248.4,334776,249.5987037852364,249.66462388727598,-0.5763688760806907,23681.65,True,False,False,29.729729729730693,0.04062308444756013,0.19827030548058153,-0.1576472210330214,4155024151930.5024,17088814958,243.14290734275633,2,False,True
TSLA,2025-04-16 13:31:00-04:00,245.7,245.7599,244.64,244.84,807292,245.91575550064618,246.02109181801305,-0.3500203500203414,169224.55,True,False,False,29.585038545732104,-0.0653982465239551,0.025680831100112572,-0.09107907762406767,4167576294935.0537,17139331530,243.15862538981145,2,False,True
AAPL,2025-04-16 13:31:00-04:00,197.18,197.225,196.15,196.41,409914,197.33345626705247,197.40579716841646,-0.3955575840559833,82382.9,True,False,False,32.00193825280495,-0.015587862789232076,0.07906653599363829,-0.09465439878287037,4187530713027.056,17227957083,243.06600561242274,2,False,True
MSFT,2025-04-16 13:31:00-04:00,376.64,376.64,374.9,375.415,140131,376.72874297962375,376.8830144427682,-0.34112025484469566,30871.1,True,False,False,32.45109321058814,-0.12237064136513709,-0.03734935385304531,-0.08502128751209179,4196500438435.5596,17266041791,243.0493618185845,2,False,True
NVDA,2025-04-16 07:00:00-04:00,105.79,105.81,105.07,105.12,275778,105.59477283651727,105.63097115377356,-0.6333301824369086,23125.25,True,False,False,29.661016949156974,-0.030901575024046224,-0.012453225376055716,-0.018448349647990508,4202112550629.3457,17286130994,243.09156005400487,2,False,True
META,2025-04-16 08:00:00-04:00,511.2,514.93,506.0,509.75,197264,512.646093017632,512.7031223145234,-0.7090126414616593,10750.05,True,False,False,43.21663019693675,0.3350319340831902,0.6478605735723876,-0.31282863948919737,4242493878352.616,17673890241,240.04301376223626,1,False,True
AMZN,2025-04-16 08:00:00-04:00,177.66,178.0,176.0,176.14,81237,177.47089235853247,177.58554101736775,-0.8834618198188204,4915.9,True,False,False,25.000000000001776,-0.08713615632632354,0.0021035671620249323,-0.08923972348834848,4251849448107.155,17692605674,240.31787778752226,2,False,True
TSLA,2025-04-17 09:30:00-04:00,243.48,243.88,242.0734,242.46,1282924,243.15855022419288,243.20726421059467,-0.4189255791030022,74983.8,True,False,False,41.92242431458925,-0.050604179649610614,-0.030239113276775677,-0.020365066372834938,4322437652084.294,17887967060,241.6394013688604,1,False,True
MSFT,2025-04-17 09:25:00-04:00,372.51,372.51,370.5,371.52,16488,372.4875797538135,372.54596034783725,-0.39678284182306234,2495.5,True,False,False,44.0060861279315,-0.0858964909850215,-0.10870839705976651,0.02281190607474501,4352341608883.6904,18021819990,241.50399966810957,2,False,True
GOOGL,2025-04-17 09:27:00-04:00,154.47,154.47,154.1,154.1,3869,154.5345600850457,154.55930192607715,-0.31696746231969497,1926.8,True,False,False,41.12302752920241,-0.02823459281572127,-0.02311993421052653,-0.005114658605194743,4406034708030.596,18399178097,239.46910480468708,1,False,True
